Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
World,º World,1961,Earths,0.008470096698135907,0.32165116245162567,0.1463849312228401,0.030571358754455377,0.1378554837104271,0.08541907162993649,0.7303530957714057,3A,null
World,º World,1962,Earths,0.008872325394329071,0.3340407874052664,0.15085188258515572,0.031810746074629644,0.13834580870448449,0.08573987600947787,0.7496605301912063,3A,null
World,º World,1963,Earths,0.009107410330866303,0.3576523596702282,0.15274847446996268,0.032796743460239045,0.1396990407756318,0.08737301301587655,0.7793767722735985,3A,null
World,º World,1964,Earths,0.009480354803575943,0.3796086638240513,0.15619851734593057,0.032011355842074346,0.14415677868644067,0.08630492948425697,0.8077604347003875,3A,null
World,º World,1965,Earths,0.009769722690175784,0.3992968709434793,0.15844549921542728,0.03435323002957676,0.14552259449527297,0.0882006928682709,0.8355879948028566,3A,null
World,º World,1966,Earths,0.010428804944214819,0.4173163638859122,0.1653772975082335,0.03639747870714677,0.14645694064148457,0.08700087528062335,0.8629774194406685,3A,null
World,º World,1967,Earths,0.010792539433062156,0.4282181274482416,0.1681256486003863,0.03874736246960852,0.14824139515879017,0.08839040850474153,0.8825146256438556,3A,null
World,º World,1968,Earths,0.011267816789342876,0.45093620516154004,0.17342611278438738,0.04090081623466147,0.14899204241840402,0.08794218449859152,0.9134650035730117,3A,null
World,º World,1969,Earths,0.01155471052801604,0.48553138848141736,0.17616492621546234,0.04063405242538428,0.15087986268279008,0.08748409748952234,0.9522501110558084,3A,null
World,º World,1970,Earths,0.012097831042204209,0.5308071304478141,0.18018830545317827,0.041091091503829974,0.1536643544758943,0.08686939441079841,1.0047186653978175,3A,null
World,º World,1971,Earths,0.01268312459679288,0.5506548325163684,0.18462527370413268,0.040073953718439234,0.15472501986769321,0.08831510679637326,1.031077061513789,3A,null
World,º World,1972,Earths,0.012661830685388198,0.5811389841054677,0.18070095442873443,0.042124527367885745,0.1554351879019813,0.09128349893438116,1.063346182239318,3A,null
World,º World,1973,Earths,0.013487383397997424,0.6139191548543289,0.1897098915258284,0.042961236402890804,0.1590291240559331,0.08936748381038576,1.1084745983938784,3A,null
World,º World,1974,Earths,0.013464661745858472,0.6076421014338598,0.18556295396032307,0.04440473464262491,0.15986596638611303,0.09228867503026017,1.1032295351045238,3A,null
World,º World,1975,Earths,0.01386122549366371,0.5994610370522611,0.18739155145465428,0.04209900583109972,0.15579183086209122,0.09615987141195163,1.0947651953354491,3A,null
World,º World,1976,Earths,0.014550005967263803,0.6321568785967466,0.19493490656817591,0.042874896640404433,0.16065812180840847,0.09500020590107891,1.140175644455644,3A,null
World,º World,1977,Earths,0.014913772564842089,0.6526054107084903,0.19608683029661905,0.04143214509513911,0.16121921935393205,0.09550218716001689,1.1617591870021955,3A,null
World,º World,1978,Earths,0.015772952598337404,0.6583513039978532,0.2047735245091821,0.040922386105482114,0.16263679439146245,0.09418863045857823,1.176646346495482,3A,null
World,º World,1979,Earths,0.015958487398289707,0.6861248007154418,0.20385991520860045,0.04118448249505882,0.16659344864140282,0.0966143451733355,1.2103364965929941,3A,null
World,º World,1980,Earths,0.01601098234668981,0.6646355317091794,0.20172048510353868,0.041851505462386744,0.16548044817978386,0.09797923131517675,1.1876778174954945,3A,null
World,º World,1981,Earths,0.016850432948704173,0.6332552948783976,0.2085928211718117,0.042444560248813365,0.1622585803313406,0.09773464095534608,1.1611372678969305,3A,null
World,º World,1982,Earths,0.01770086343976862,0.6120684577705946,0.2170521712975799,0.04243861922766013,0.1597994589923253,0.09653792857457025,1.145598407819881,3A,null
World,º World,1983,Earths,0.017846020610132282,0.6087461941241677,0.2158663612919808,0.0425119510443027,0.16602545978767896,0.0973840428162458,1.1483798061311556,3A,null
World,º World,1984,Earths,0.018954734788942343,0.6225624454281558,0.2281662590463283,0.04275285399072889,0.16849263587004662,0.09562836229321252,1.176556388099713,3A,null
World,º World,1985,Earths,0.01950032491903293,0.630530097052554,0.23308602987108257,0.043051738163439185,0.1676530151875122,0.0939095381865092,1.1877302945208223,3A,null
World,º World,1986,Earths,0.019893663415983292,0.6427475024284739,0.23464653416820122,0.04489568394481632,0.17179369078614448,0.09279218820377222,1.206768589664092,3A,null
World,º World,1987,Earths,0.020423229389493657,0.6640706000739094,0.23697744946507113,0.046819289521266516,0.17512004882413126,0.09276811587902037,1.2361796378150292,3A,null
World,º World,1988,Earths,0.02034193702930311,0.6987455314715451,0.23168483676706417,0.04877562181390023,0.17837961398975974,0.09382803878661726,1.2717562662218924,3A,null
World,º World,1989,Earths,0.021342538158039256,0.7074825466794883,0.23890966631114072,0.04799933954858813,0.17864584829067506,0.09353312080568663,1.2879141993092995,3A,null
World,º World,1990,Earths,0.022269156475929495,0.7051226915163801,0.24536024580611238,0.046583901430122296,0.17736083944845968,0.0939893359739325,1.2906853849665814,3A,null
World,º World,1991,Earths,0.02226125271628406,0.7181656705991061,0.24186438908403277,0.04642529172087128,0.1706371983789237,0.09605424464102884,1.2954082684739154,3A,null
World,º World,1992,Earths,0.02256315908330628,0.7144058938387118,0.24074727263042214,0.046525782145275946,0.16554761697083953,0.09536374531103854,1.2851532538271473,3A,null
World,º World,1993,Earths,0.02280659579785396,0.7182914503891972,0.23979111444058007,0.047203526891858784,0.16353678847205147,0.09504435827947191,1.2866749004925713,3A,null
World,º World,1994,Earths,0.023577171491924363,0.7206140431465023,0.24412483241469732,0.04926596068251215,0.16235665910418726,0.09546158694119705,1.2954003595897587,3A,null
World,º World,1995,Earths,0.023712599829958537,0.7456153454152654,0.24209333754319984,0.05151775178453813,0.16602850689942447,0.09528711597489999,1.3242536958931783,3A,null
World,º World,1996,Earths,0.024908293723066022,0.7531852649853604,0.2508739073319225,0.05188949359695875,0.16189182189437268,0.09321910276270416,1.3359668187581322,3A,null
World,º World,1997,Earths,0.0254939625663444,0.7623477226612517,0.2542485470890464,0.051976410712768324,0.16511934203698644,0.09179277314270401,1.350979503848444,3A,null
World,º World,1998,Earths,0.026062001902135205,0.7597651035241996,0.25667528011032076,0.051866782466203805,0.1628365967118054,0.09178509716808347,1.3489917015809219,3A,null
World,º World,1999,Earths,0.026682560114942966,0.7540583125117437,0.2600241202525248,0.051930765564365905,0.1653043689643472,0.09150636379264081,1.3495070095900492,3A,null
World,º World,2000,Earths,0.02716408246426675,0.7775785728216593,0.26074363989060767,0.05144041560120379,0.1708306016040057,0.09166097957789895,1.379418920644349,3A,null
World,º World,2001,Earths,0.027971235591160055,0.786449538106136,0.2645626841968354,0.05166138287012298,0.1643017399267477,0.0909510003892097,1.385897164926956,3A,null
World,º World,2002,Earths,0.02831984916839391,0.7991141316044552,0.26385048987708887,0.05169488472018297,0.16815509481225094,0.09093407037962917,1.4020686245847953,3A,null
World,º World,2003,Earths,0.028820808766808256,0.847125816307394,0.2660125678402739,0.053057848836770526,0.1713764485836042,0.09087392481705686,1.4572676292728746,3A,null
World,º World,2004,Earths,0.030321567846001807,0.8851915755707558,0.27766457510502734,0.05428763319208292,0.17186240434679279,0.08968021767814298,1.5090077540752465,3A,null
World,º World,2005,Earths,0.030634328422118776,0.9255933570939551,0.27809765273257175,0.05404462900655675,0.17452839131745507,0.08939292680615964,1.5522913971842844,3A,null
World,º World,2006,Earths,0.03142304671035616,0.9606299910613384,0.2805181673526781,0.05446080788315822,0.17119612995318628,0.0895201055792559,1.5877487009139177,3A,null
World,º World,2007,Earths,0.03208124482282968,0.9972982704539388,0.28333166662955817,0.05351040603068808,0.17250916480356177,0.08919371460894872,1.627924811511785,3A,null
World,º World,2008,Earths,0.033306635157339656,0.9983001370003921,0.2908690008995032,0.05226006304040915,0.16228377048893547,0.08768996201927985,1.6247092290466572,3A,null
World,º World,2009,Earths,0.03352045460654973,0.9811457621957368,0.28962690508130745,0.05210395614312274,0.15600510231627654,0.0893881932304613,1.6017901535473908,3A,null
World,º World,2010,Earths,0.0344107213487752,1.045282590431026,0.2943659949484779,0.051898129329582945,0.16576889717011725,0.08688451566950685,1.678611077653978,3A,null
World,º World,2011,Earths,0.03522485246809497,1.0607986325310155,0.30048044964576665,0.052018211207233996,0.1684562147195264,0.08653150422792526,1.7035102091790388,3A,null
World,º World,2012,Earths,0.035253660156767036,1.060453634431443,0.29909422887843257,0.053312599214936786,0.1697656156971001,0.08790916320155048,1.7057895824891376,3A,null
World,º World,2013,Earths,0.03674509323772401,1.0611318151062052,0.30860079141055363,0.054742126781185826,0.16956015501977056,0.08636930239030488,1.7171500752104714,3A,null
World,º World,2014,Earths,0.03752351384107945,1.0503144496717765,0.3117027691581743,0.0569522617745731,0.170221727312338,0.0862477071452678,1.7129617602486154,3A,null
World,º World,2015,Earths,0.03804236955870899,1.0388449564588067,0.31578801835102366,0.056376282041899144,0.16842702874265394,0.08623073987036485,1.7037096141046812,3A,null
World,º World,2016,Earths,0.03859749151323443,1.0291183925781633,0.3178560153984909,0.05584102967415303,0.17125166839446848,0.0858940711200859,1.6985576967989666,3A,null
World,º World,2017,Earths,0.03946967159705808,1.0602128966011348,0.3226108589805672,0.05655005305723094,0.170576197996478,0.08476236981238396,1.7341816111276478,3A,null
